# Erzeugt von tools/license-audit.py — NICHT von Hand bearbeiten.
# Spalten: Name\tVersion\tLizenz\tHerkunft
@asamuzakjp/css-color	6.0.7	MIT	npm
@asamuzakjp/dom-selector	8.3.2	MIT	npm
@babel/code-frame	7.29.7	MIT	npm
@babel/compat-data	7.29.7	MIT	npm
@babel/core	7.29.7	MIT	npm
@babel/generator	7.29.8	MIT	npm
@babel/helper-compilation-targets	7.29.7	MIT	npm
@babel/helper-globals	7.29.7	MIT	npm
@babel/helper-module-imports	7.29.7	MIT	npm
@babel/helper-module-transforms	7.29.7	MIT	npm
@babel/helper-plugin-utils	7.29.7	MIT	npm
@babel/helper-string-parser	7.29.7	MIT	npm
@babel/helper-validator-identifier	7.29.7	MIT	npm
@babel/helper-validator-option	7.29.7	MIT	npm
@babel/helpers	7.29.7	MIT	npm
@babel/parser	7.29.8	MIT	npm
@babel/plugin-transform-react-jsx-self	7.29.7	MIT	npm
@babel/plugin-transform-react-jsx-source	7.29.7	MIT	npm
@babel/template	7.29.7	MIT	npm
@babel/traverse	7.29.8	MIT	npm
@babel/types	7.29.8	MIT	npm
@bramus/specificity	2.4.2	MIT	npm
@csstools/color-helpers	6.1.1	MIT-0	npm
@csstools/css-calc	3.3.0	MIT	npm
@csstools/css-color-parser	4.2.1	MIT	npm
@csstools/css-parser-algorithms	4.0.0	MIT	npm
@csstools/css-syntax-patches-for-csstree	1.1.9	MIT-0	npm
@csstools/css-tokenizer	4.0.0	MIT	npm
@esbuild/linux-x64	0.25.12	MIT	npm
@exodus/bytes	1.15.1	MIT	npm
@fontsource/inter	5.3.0	OFL-1.1	npm
@jridgewell/gen-mapping	0.3.13	MIT	npm
@jridgewell/remapping	2.3.5	MIT	npm
@jridgewell/resolve-uri	3.1.2	MIT	npm
@jridgewell/sourcemap-codec	1.6.0	MIT	npm
@jridgewell/trace-mapping	0.3.31	MIT	npm
@napi-rs/lzma-linux-x64-gnu	1.5.1	MIT	npm
@playwright/test	1.62.1	Apache-2.0	npm
@polka/url	1.0.0-next.29	MIT	npm
@rolldown/pluginutils	1.0.0-beta.27	MIT	npm
@rollup/rollup-linux-x64-gnu	4.63.1	MIT	npm
@standard-schema/spec	1.1.0	MIT	npm
@tailwindcss/node	4.3.3	MIT	npm
@tailwindcss/oxide	4.3.3	MIT	npm
@tailwindcss/oxide-linux-x64-gnu	4.3.3	MIT	npm
@tailwindcss/vite	4.3.3	MIT	npm
@tanstack/react-virtual	3.14.10	MIT	npm
@tanstack/virtual-core	3.17.8	MIT	npm
@tauri-apps/api	2.11.1	Apache-2.0 OR MIT	npm
@tauri-apps/cli	2.11.4	Apache-2.0 OR MIT	npm
@tauri-apps/cli-linux-x64-gnu	2.11.4	Apache-2.0 OR MIT	npm
@types/babel__core	7.20.5	MIT	npm
@types/babel__generator	7.27.0	MIT	npm
@types/babel__template	7.4.4	MIT	npm
@types/babel__traverse	7.28.0	MIT	npm
@types/chai	5.2.3	MIT	npm
@types/deep-eql	4.0.2	MIT	npm
@types/estree	1.0.9	MIT	npm
@types/geojson	7946.0.16	MIT	npm
@types/leaflet	1.9.22	MIT	npm
@types/node	22.20.1	MIT	npm
@types/react	19.2.18	MIT	npm
@types/react-dom	19.2.5	MIT	npm
@vitejs/plugin-react	4.7.0	MIT	npm
@vitest/expect	4.1.11	MIT	npm
@vitest/mocker	4.1.11	MIT	npm
@vitest/pretty-format	4.1.11	MIT	npm
@vitest/runner	4.1.11	MIT	npm
@vitest/snapshot	4.1.11	MIT	npm
@vitest/spy	4.1.11	MIT	npm
@vitest/ui	4.1.11	MIT	npm
@vitest/utils	4.1.11	MIT	npm
assertion-error	2.0.1	MIT	npm
baseline-browser-mapping	2.11.20	Apache-2.0	npm
bidi-js	1.0.3	MIT	npm
browserslist	4.28.8	MIT	npm
caniuse-lite	1.0.30001810	CC-BY-4.0	npm
chai	6.2.2	MIT	npm
convert-source-map	2.0.0	MIT	npm
css-tree	3.2.1	MIT	npm
csstype	3.2.3	MIT	npm
data-urls	7.0.0	MIT	npm
debug	4.4.3	MIT	npm
decimal.js	10.6.0	MIT	npm
detect-libc	2.1.2	Apache-2.0	npm
electron-to-chromium	1.5.416	ISC	npm
enhanced-resolve	5.24.5	MIT	npm
